trdmn,mkt_rf,smb,hml,umd,rf,smb_equal,hml_equal,umd_equal,rmw,cma,rmw_equal,cma_equal
201111,-0.053575812,0.0108507963,-0.031872652,-0.00333574,0.002871,0.0106102198,-0.029632719,-0.019424964,-0.00284689,0.0110865045,-0.010529784,0.0102273823
201112,-0.095650555,-0.067488209,0.0539148968,0.07247939,0.002871,-0.024041953,0.0278688197,-0.013224936,0.1077028584,-0.057574098,0.0640629929,-0.049737623
201201,0.0253780456,-0.041625731,0.0340576237,-0.033558667,0.002871,-0.027228922,0.0223895053,-0.044559083,0.0191449212,0.0081856071,0.005030276,0.0174457024
201202,0.0790797726,0.0443242431,-0.035857815,-0.073704898,0.002871,0.0182532126,-0.016258058,-0.043900287,-0.047920506,0.0029972082,-0.017016767,-0.005411266
201203,-0.076928798,0.0073138547,-0.003387665,0.0425213123,0.002871,0.0091384044,-0.000877847,0.033092863,0.0140287453,0.005320838,0.0044900423,0.0059281628
201204,0.0586589122,-0.003276683,0.0170113999,-0.049383073,0.002871,-0.017913958,0.0384831781,-0.05222353,-0.015261319,-0.016304007,0.0065517841,0.0069068566
201205,0.0024047007,0.0151397441,-0.033414147,-0.007321181,0.002871,0.0113191683,-0.017861518,0.0150636671,-0.01035946,-0.018415722,0.0059273684,-0.012286627
201206,-0.065198796,0.0074987859,-0.021685897,0.0562430928,0.002669,0.0193599964,-0.024275212,0.0388832035,0.0254531301,-0.019696596,-0.000358592,0.0104334599
201207,-0.062506996,-0.039154518,0.0051724978,0.05864388,0.002466,-0.018823411,0.003829872,0.0361683569,0.041159491,-0.029881898,0.0241611111,-0.013846022
201208,-0.02820064,0.072258147,-0.00809969,-0.033374228,0.002466,0.0468418416,-0.023448212,-0.031179839,-0.052566188,0.0429234853,-0.056022858,0.0243505649
201209,0.0274622849,-0.032051633,-0.013271115,-0.008561054,0.002466,-0.013484297,-0.005155581,-0.019264111,0.0354133037,-0.037862286,0.0224141901,-0.0086302
201210,-0.010768889,0.0200190172,0.0099115728,0.0058746146,0.002466,0.0085972514,0.009745895,-0.008065495,-0.009539934,0.005971238,-0.012405621,0.0161258706
201211,-0.076534192,-0.030299452,0.0480381206,0.0516811192,0.002466,-0.009124821,0.0289954123,0.0049229041,0.0400696451,-0.004703069,0.0109083777,0.0054432828
201212,0.1375115042,0.0192127788,-0.003211651,-0.042426255,0.002466,0.0021386042,-0.00695587,-0.013387635,-0.013059871,-0.007133453,0.0227718983,-0.017901738
201301,0.0366024556,0.0352485097,-0.009569432,-0.037048926,0.002466,0.0095465559,-0.016335966,-0.009424239,-0.0489913,0.0243943454,-0.030202897,-0.000411267
201302,0.0076063825,0.0331341584,-0.021641507,0.025528718,0.002466,0.0179252899,-0.014509698,0.0125350342,-0.020960712,-0.001307969,-0.013314689,-0.006949275
201303,-0.044611661,0.0249498225,-0.024053674,0.0519853038,0.002466,0.0181473533,-0.024669927,0.040126535,-0.015308752,0.0141468495,-0.025326721,0.015051487
201304,-0.033286174,0.0001864973,-0.005817797,0.0092624838,0.002466,0.000567055,-0.005255955,0.0209401145,-0.005741384,-0.013587463,0.002041068,-0.002456431
201305,0.0850104272,0.0708075742,-0.034248507,0.0233231652,0.002466,0.0347077805,-0.033767221,0.0203847395,-0.063163606,0.0051669005,-0.034659562,-0.001322263
201306,-0.14648536,-0.001364511,-0.018942112,0.0623491537,0.002466,0.0145154555,-0.011046845,0.0476749324,0.0267684953,-0.016326489,-0.006473578,0.0040507483
201307,0.0401596712,0.0383537113,0.0021630947,0.0557249762,0.002466,0.0348647997,-0.01202908,0.0410674999,-0.022758847,0.0229424245,-0.035827725,0.0195816612
201308,0.0557170079,0.0326056313,0.0153372163,-0.061863789,0.002466,-0.00096593,0.036726209,-0.065120158,-0.057481073,0.0323364909,-0.022685096,0.0180430216
201309,0.0426876274,0.0098208612,0.0024759359,0.0790865293,0.002466,0.0093125065,-0.000391483,0.0374406766,-0.027580643,0.0198555127,-0.015209224,0.0048566648
201310,-0.028144088,0.0095642277,0.0311373676,-0.065356665,0.002466,0.0122924067,0.0250858879,-0.042157593,0.0067884749,0.0091660925,-0.005229244,0.0105147632
201311,0.0501202838,0.052446363,-0.011592439,0.0369702948,0.002466,0.0553438342,-0.000935848,0.0395279901,-0.035052992,0.0114767931,-0.043728826,0.00860748
201312,-0.042490785,0.0073960589,0.0123812097,0.0089052776,0.002466,0.0065253884,0.017864597,-0.000021862,0.0130357617,-0.013288105,0.012647401,-0.003874952
201401,-0.018250782,0.0709309419,-0.019360405,0.097836322,0.002466,0.0574997293,-0.01982313,0.1349785457,-0.039422335,0.0053109381,-0.045255718,-0.001039824
201402,0.0146063315,0.0298047646,0.013928866,-0.032238694,0.002466,0.0217926697,0.0116241531,-0.013187001,-0.023463691,0.0317679797,-0.033868516,0.0252824865
